episode,reward,avg_q_value
1,-3399.725041181207,-4.633970204320072
2,-3923.339304101302,-8.979231423840194
3,-2604.4361455668663,-8.747355810499092
4,-4415.911987295188,-12.996894908640778
5,-2454.3661749429125,-11.973924376688306
6,-3953.3895333175747,-14.585756120597745
7,-3847.147616165912,-17.649436226817805
8,-2438.940717683014,-17.860144404278838
9,-3843.988939450641,-20.88098949379136
10,-2063.533437031921,-17.203746570279332
11,-541.815944195291,-8.448284599969405
12,-2344.9187990156706,-8.849104873821691
13,-2894.243106516658,-10.89915933895088
14,-2414.765527379737,-11.699474114682637
15,-3927.2803876673856,-15.077264910502485
16,-2747.1577592520334,-16.927550536783585
17,-3020.4834856142024,-19.055080157611556
18,-1932.7855646363857,-19.679911841197914
19,-1142.1745842627336,-14.963840060596551
20,-3051.9021702536784,-14.619895348295854
21,-2195.6724317735866,-12.809807319838471
22,-2535.969072446891,-12.268835805184343
23,-1662.0471830681054,-10.874041900770571
24,-3331.576131969199,-13.396868675809237
25,-2395.735385554739,-12.814576461731175
26,-4136.363491308673,-16.24853122700994
27,-2100.438343760702,-14.757832869224265
28,-3096.3402442236907,-16.344855843795127
29,-1435.9959459162333,-13.507322230708755
30,-1704.1088972793664,-11.785661539928537
31,-3650.819988808482,-14.812924315068189
32,-1966.8540032911149,-12.730991910781945
33,-3487.10646443559,-15.758727677148972
34,-3354.596819367977,-18.35728116734955
35,-4001.7672526180486,-21.475614377212192
36,-1445.1141472002357,-20.312794663750612
37,-1450.0995244421263,-15.655534908705338
38,-3677.479600134516,-18.398465975992217
39,-4191.110055770974,-21.248601078965173
40,-3998.14006970369,-23.082409973014844
41,-1434.9213616382137,-18.48596942461451
42,-4594.043008285979,-22.210758614182836
43,-3751.832521433174,-24.71490190503845
44,-4260.069841393339,-27.432529263813777
45,-2352.0189224076116,-23.503004832624185
46,-1588.3114559634832,-17.46618779731556
47,-3708.4736963166065,-19.555730038064524
48,-3250.004847331999,-21.077718237550606
49,-3162.72756742682,-21.021462562513687
50,-3306.5511652865407,-21.875720793599456
